META,YEAR,MONTH,USAGE,RAW,REAL,SPOT
USUM,2018,FEB,16.17712,525241,446276,4
USUM,2018,MAR,16.72964,576877,489105,4
USUM,2018,APR,16.43761,527200,447871,3
USUM,2018,MAY,15.65081,540269,458117,4
USUM,2018,JUN,16.08671,548039,465832,4
USUM,2018,JUL,17.39308,644317,550705,4
USUM,2018,AUG,17.46477,661834,563003,4
USUM,2018,SEP,16.52910,588896,498838,5
USUM,2018,OCT,15.58434,551340,465360,5
USUM,2018,NOV,15.22522,535127,450223,6
USUM,2018,DEC,16.07665,539184,456885,6
USUM,2019,JAN,17.49465,593327,505587,4
